,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
303,N/A,N/A,pfe,N/A,N/A,N/A,N/A,N/A,98.53,N/A,N/A,N/A,28.81,29.82,5.49,0.66,8.87,5560000000.0,N/A,N/A,N/A,N/A,N/A,49200000000.0,41740000000.0,0.66,N/A,2.53,32.10,11.00,11400000000.0,2.05,63610000000.0,1.42,11.58,14970000000.0,0.66,0.04,72.56,N/A,1.7,0.90,47470000.0,N/A
304,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,27.67,N/A,N/A,N/A,7.82,9.55,0.36,1.56,58.49,274520000.0,N/A,N/A,N/A,N/A,N/A,16170000000.000002,6200000000.0,1.56,N/A,4.55,3.10,21.60,4139999999.9999995,15.09,4310000000.0,2.71,55.63,4860000000.0,1.56,0.33,74.51,N/A,2.13,1.38,4460000.0,N/A
305,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,33.46,N/A,N/A,N/A,10.86,14.04,6.42,0.54,69.37,585400000.0,N/A,N/A,N/A,N/A,N/A,40540000000.0,5530000000.0,0.54,N/A,7.46,82.80,16.10,4810000000.0,8.21,5580000000.0,0.45,27.63,6770000000.0,0.54,0.29,82.12,N/A,2.82,1.21,6630000.0,N/A
306,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,140.35,N/A,N/A,N/A,8.81,14.53,6.67,1.69,106.65,128220000.0,N/A,N/A,N/A,N/A,N/A,13700000000.0,3540000000.0,1.69,N/A,9.29,28.50,14.10,756320000.0,5.88,8600000000.0,1.55,47.56,2069999999.9999998,1.69,0.35,83.66,N/A,0.72,0.72,1620000.0,N/A
307,N/A,N/A,phm,N/A,N/A,N/A,N/A,N/A,53.47,N/A,N/A,N/A,10.94,14.85,9.36,1.44,39.24,268180000.0,N/A,N/A,N/A,N/A,N/A,10620000000.0,2410000000.0,1.44,N/A,4.24,44.60,4.20,1680000000.0,6.26,3130000000.0,4.51,21.82,1580000000.0,1.44,3.17,94.59,N/A,2.03,2.88,6250000.0,N/A
308,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,72.43,N/A,N/A,N/A,9.87,15.39,4.39,1.36,26.79,111810000.0,N/A,N/A,N/A,N/A,N/A,2980000000.0,1420000000.0,1.36,N/A,2.63,98.50,12.30,218540000.0,1.95,2150000000.0,1.32,26.61,520570000.00000006,1.36,0.81,99.00,N/A,2.08,3.88,2780000.0,N/A
309,N/A,N/A,pld,N/A,N/A,N/A,N/A,N/A,43.97,N/A,N/A,N/A,40.85,37.15,2.10,0.91,6.30,738770000.0,N/A,N/A,N/A,N/A,N/A,4250000000.0,2610000000.0,0.91,N/A,2.54,5.40,57.40,549150000.0,0.74,16160000000.0,2.13,43.55,2620000000.0,0.91,0.52,88.99,N/A,2.4,1.09,7960000.0,N/A
310,N/A,N/A,pll,N/A,N/A,N/A,N/A,N/A,17.77,N/A,N/A,N/A,0.00,380.82,38.13,1.22,0.00,10330000.0,N/A,N/A,N/A,N/A,N/A,0.00,8020000.0,1.22,N/A,0.90,8950000.0,8020000.0,8950000.0,1.09,2390000.0,6.20,1.60,10050000.0,1.22,0.00,0.10,N/A,0.17,0.19,0.00,N/A
311,N/A,N/A,pm,N/A,N/A,N/A,N/A,N/A,1.13,N/A,N/A,N/A,24.98,37.65,17.35,0.79,18.75,1560000000.0,N/A,N/A,N/A,N/A,N/A,29160000000.0,19290000000.0,0.79,N/A,4.67,16.00,13.60,4200000000.0,2.7,29630000000.0,1.13,7.70,8439999999.999999,0.79,0.22,75.22,N/A,1.92,0.54,7990000.0,N/A
312,N/A,N/A,pnc,N/A,N/A,N/A,N/A,N/A,115.12,N/A,N/A,N/A,51.49,26.36,0.73,1.23,32.64,424500000.0,N/A,N/A,N/A,N/A,N/A,14180000000.0,17050000000.0,1.23,N/A,16.11,167.80,60.00,14810000000.0,34.88,47830000000.0,115.12,115.12,6050000000.0,1.23,0.23,84.49,N/A,2.07,1.16,4300000.0,N/A
