,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN
2002-09-10,10.417815276521,,0.92080236326623,,14.868422443827,11.545886698667,23.04798224687936,77.07092890111336,12.728045833665
2002-09-11,10.526973786295,,0.91823208451322,,14.766212469115,11.685103156895,23.092079151688445,76.77203887213396,12.854222248373
2002-09-12,10.417815276521,,0.90859353918943,,14.947687322175,11.567071811876,24.15040486710637,74.97869869825765,12.854222248373
2002-09-13,10.219965477557,,0.91052124825419,,15.008178939861,11.385485127231,24.635470820006258,73.91123430904554,12.420490822815
2002-09-16,9.9538916099833,,0.93172604796653,,15.239715821352,11.594309814573,24.525228557983553,73.31345425108678,12.735931859584
2002-09-17,10.069872526618,,0.95100313861411,,14.52841783407,11.679050267407,23.996065700274592,71.94709983289529,12.728045833665
2002-09-18,10.063050119757,,0.96513967175567,,14.451238873573,12.232889655574,23.974017247870048,70.66614256584077,12.530895185684
2002-09-19,9.599126453219,,0.93686660547255,,14.01736796051,12.136043423763,23.224369866115683,69.38518529878625,11.119296546139
2002-09-20,9.5309023846104,,0.95550112643188,,14.349028898861,12.650539030257,23.5256987156444,68.95819954310141,11.537255919859
2002-09-23,9.1079131592376,,0.95421598705538,,14.292709116877,12.620274582816,22.77605133389003,66.56707931126633,11.639774256809
2002-09-24,9.0055770563248,,0.94072202360207,,14.611854548121,12.741332372579,22.004355499731126,65.11532774193788,10.882715768561
2002-09-25,9.599126453219,,0.9593565445614,,14.862164690273,13.255827979073,21.97495756319174,67.89073515388932,11.237586934927
2002-09-26,9.4012766542543,,0.94457744173158,,15.156279107301,12.680803477697,23.061509450776395,69.98296535674504,11.395307453312
2002-09-27,8.9305305808555,,0.94586258110809,,14.757868797709,12.211704542365,22.13757077085747,70.0256639323135,11.158726675735
2002-09-30,8.9100633602729,,0.93172604796653,,14.897625293744,12.226836766085,21.88625944991952,70.66614256584077,11.261245012685
2002-10-01,8.9032409534121,,0.93236861765478,,15.223028478542,12.711067925138,22.618018884415314,73.7831385823401,11.750178619678
2002-10-02,8.5280085760652,,0.91052124825419,,14.80793082614,12.605142359095,20.954929260561247,71.05042974595713,11.064094364704
2002-10-03,8.3915604388481,,0.91887465420147,,15.281434178377,12.829099270157,21.257981147574654,71.77630553062134,10.212403565425
2002-10-04,8.0504400958055,,0.90152527261865,,14.799587154735,12.375132558545,21.309721713650113,70.66614256584077,9.6209516214817
2002-10-07,7.8594127037017,,0.88481846072408,,14.705720851428,11.969588962839,20.274910392140914,66.95136649138267,9.7471280361897
2002-10-08,8.3438035908222,,0.87967790321805,,15.333582124659,11.945377404886,21.938000015994984,67.03676364251965,10.212403565425
2002-10-09,7.4364234783288,,0.87389477602378,,14.985233843497,12.196572318645,20.807099071774214,64.09056192829426,9.8259882953821
2002-10-10,7.4023114440246,,0.90730839981292,,14.866336525975,12.270720214875,22.544103790021797,66.18279213114997,10.527844602195
2002-10-11,7.4364234783288,,0.93236861765478,,15.306465192592,12.6299226424,23.955882092937916,68.95819954310141,11.300675142281
2002-10-14,7.5114699537982,,0.94907542954935,,15.629782459539,13.174814460426,22.536712280582446,69.08629526980687,11.434737582909
2002-10-15,8.0981969438315,,0.97413564739121,,15.485854127801,13.433561971779,24.576768885843435,74.46631579143585,13.193321362901
2002-10-16,7.6752077184587,,0.93558146609605,,15.35235538532,13.241784404541,24.355023602662897,68.70200808969052,12.601869418957
2002-10-17,8.2551123016311,,0.90666583012467,,14.893453458042,13.454870590361,25.64853775454939,68.87280239196446,13.240637518416
2002-10-18,8.2551123016311,,0.92144493295448,,14.747439208453,13.393988822984,25.685495301746148,69.2997881476493,13.366813933124
2002-10-21,8.5484757966477,,0.93558146609605,,15.310637028295,13.287445730074,26.90509435923913,73.14265994881283,13.61916676254
2002-10-22,8.3915604388481,,0.94457744173158,,15.600579609621,13.028698218721,26.210292471940097,72.58757846642254,13.398358036801
2002-10-23,8.1868882330226,,0.95614369612013,,15.571376759703,13.1382854,25.323311339217927,74.2955214891619,13.800545358683
2002-10-24,8.9032409534121,,0.94393487204333,,15.064498721846,12.922155125811,24.672858508555006,75.14949300053159,13.556078555186
2002-10-25,8.8281944779427,,0.99084245928578,,15.479596374248,13.113932693049,25.212438697627658,76.47314884315458,13.895177669714
2002-10-28,9.2238940758721,,1.0030512833626,,14.924742225811,12.961728274606,25.123740584355442,74.76520582041523,13.761115229087
2002-10-29,8.6781015270039,,0.99212759866229,,15.079100146804,12.745598000417,24.687641527433705,75.36298587837399,13.209093414739
2002-10-30,9.4626783160019,,1.0268263618279,,15.291863767634,12.818656121269,23.90414152686246,76.4304502675861,13.09868905187
2002-10-31,9.3808094336717,,1.0326094890222,,14.84130551176,12.745598000417,22.728891526005583,74.12472718688797,13.311611751689
2002-11-01,9.9470692031224,,1.0512440099815,,15.112474832425,12.702980763253,22.82498114871715,74.93600012268917,13.327383803528
2002-11-04,10.254077511861,,1.0853002034589,,15.008178939861,12.806479767794,23.505000017137483,75.0640958493946,13.327383803528
2002-11-05,10.281367139304,,1.0859427731472,,14.353200734564,13.226563962697,23.142816054609263,73.65504285563465,12.940968533485
2002-11-06,10.206320663835,,1.1065050031713,,14.883023868785,13.865822520157,23.534566054894885,77.41251750566121,13.358927907205
2002-11-07,9.6946401492709,,1.0281115012044,,14.605596794567,13.896263403846,23.017160394140287,76.85743602327094,13.800545358683
2002-11-08,9.5854816394973,,1.0178303861924,,13.975649603485,13.969321524698,22.71410850712688,73.09996137324435,13.808431384602
2002-11-11,9.2375388895938,,0.97413564739121,,13.719081707779,13.421385618304,22.839764167595852,73.35615282665526,13.674368943975
2002-11-12,9.414921467976,,1.0049789924273,,13.908900232244,13.223519874328,22.788023601520393,74.97869869825765,13.800545358683
2002-11-13,9.1420251935419,,1.0017661439861,,13.863010039516,13.08349180936,22.699325488248178,75.19219157610006,14.155416525049
2002-11-14,9.5377247914713,,1.047388591852,,13.313370685707,13.381812469508,23.098466997973155,77.02823032554487,14.98344924657
2002-11-15,9.414921467976,,1.0248986527632,,13.565865646988,13.683177218026,23.253688696199532,80.95649927784538,14.754754494912
2002-11-18,9.2784733307589,,1.0056215621156,,13.22990127702,13.558369594902,23.51239152657683,81.21269073125629,15.220030024147
2002-11-19,11.325195389015,,0.98120391396199,,12.311737781454,13.527928711214,23.82283492302959,77.71140753464061,14.778412572669
2002-11-20,11.60491407031,,0.99791072585657,,12.591360300558,13.759279427247,24.39198114985965,79.80363773749633,14.589147950608
2002-11-21,12.444070114194,,1.0506014402933,,12.040462203218,13.731882631927,24.207193413875864,82.2374565448999,14.731096417154
2002-11-22,12.450892521055,,1.0287540708927,,12.376426573187,13.333107055607,25.13852360323414,83.47571523638594,14.589147950608
2002-11-25,13.324160599244,,1.0261837921397,,11.861002974539,13.327018878869,24.13327831948235,81.12729358011931,14.336795121192
2002-11-26,12.798835270959,,0.99019988959753,,12.161492845816,13.199167167377,24.17762737611846,81.34078645796174,13.958265877068
2002-11-27,13.358272633549,,1.0101195499334,,12.207401020594,13.272225288229,24.695033036873056,85.22635683469377,14.77052654675
2002-11-29,13.242291716914,,0.99598301679181,,12.107237730168,13.327018878869,25.205047188188306,85.68536652205498,15.180599894551
2002-12-02,13.167245241445,,0.97542078676772,,12.487023539698,12.800391591056,24.687641527433705,87.82643015329074,15.787823890333
2002-12-03,12.321266790699,,0.97413564739121,,12.499543951001,12.839964739851,24.901995301174896,85.64254524943026,15.354092464774
2002-12-04,11.673138138918,,0.96192682331441,,13.17773289659,12.861273358433,24.59155190472214,86.41332815667514,14.305251017515
2002-12-05,11.563979629144,,0.94007945391382,,12.672742974028,12.632966730769,24.29589152714808,85.04304743268425,14.289478965676
2002-12-06,11.454821119371,,0.9606416839379,,13.002447138345,13.071315455885,23.778485866393485,85.1715112505584,13.950379851148
2002-12-09,11.188747251798,,0.94779029017285,,12.987839991825,12.678628056302,23.12064152629121,85.59972397680554,14.092328317695
2002-12-10,11.707250173222,,0.98184648365025,,12.501630686218,12.352910600834,23.689787753121266,86.32768561142571,14.194846654645
2002-12-11,11.816408682996,,0.99534044710355,,11.925691766272,12.489894577432,23.889358507983754,88.16900033428846,14.115986395453
2002-12-12,11.720894986944,,0.97606335645597,,11.746232537594,12.435100986793,23.77109435695413,90.22442142027478,13.989809980745
2002-12-13,11.734539800666,,0.95036056892586,,11.92777850149,12.322469717145,23.157599073487965,95.74836558886302,13.895177669714
2002-12-16,12.021080888821,,0.95421598705538,,11.616854954128,12.46858595885,23.534566054894885,94.20679977437328,14.03712613626
2002-12-17,11.870987937883,,0.96899508988519,,11.577206985001,12.483806400695,23.18716511124537,91.72316596213982,14.257934861999
2002-12-18,11.495755560536,,0.9362240357843,,11.508344722833,12.410748279842,22.89150473367131,90.39570651077364,14.186960628726
2002-12-19,11.434353898788,,0.91244895731895,,11.330972229372,12.295072921825,22.0266981292672,92.49394886938468,13.83208946236
2002-12-20,12.280332349534,,0.90859353918943,,10.704951664213,11.780621987488,22.17452831805423,92.8365190503824,13.524534451509
